,Наименование ДП,Нематериальные активы,Основные средства,Внеоборотные активы,Дебиторская задолженность,Оборотные активы,Уставный капитал,Капитал и резервы,Заёмные средства (долгосрочные),Долгосрочные обязательства,Заёмные средства (краткосрочные),Кредиторская задолженность,Краткосрочные обязательства,Выручка,Себестоимость продаж,Прибыль (убыток) до налогообложения,Прибыль (убыток) от продажи
160,251,7006.369426751592,65838853.50318471,82151592.35668789,62733121.01910828,68980891.71974522,6369.426751592357,80573248.4076433,13057324.84076433,29150955.41401274,12889171.97452229,28208917.19745223,41408280.25477707,401175159.2356688,385255414.0127388,12122929.93630573,12398726.11464968
161,253,0.0,3038853.503184713,3038853.503184713,18330573.24840764,25883439.49044586,6369.426751592357,-6129299.363057325,0.0,0.0,11875796.17834395,23175796.17834395,35051592.3566879,29275796.17834395,24661783.43949044,-6135668.789808917,-2806369.426751592
162,255,0.0,6080891.719745222,6080891.719745222,58413375.79617834,110596815.2866242,7006.369426751592,3420382.165605095,52482802.5477707,52482802.5477707,26787898.08917197,33986624.20382165,60774522.29299363,412592356.6878981,388749681.5286624,567515.923566879,4900636.942675159
163,257,0.0,28425477.70700637,28425477.70700637,2298726.114649681,12284076.43312102,0.0,11438853.50318471,12111464.96815287,12214012.7388535,3562420.382165605,13494904.45859873,17057324.84076433,142826114.6496815,138944585.9872611,5136305.732484076,3881528.662420382
164,260,60028662.42038216,1073985350.318471,1180805095.541401,4955627388.535031,13370997452.2293,6369.426751592357,1925389171.974522,0.0,65708917.19745222,0.0,11788110828.02548,12560704458.59873,46748894904.4586,43344226751.59235,1969478343.949044,2297568152.866242
165,261,0.0,2847133.757961784,2847133.757961784,9524203.82165605,33177070.06369426,0.0,2386624.203821656,4275159.23566879,5097452.229299363,4550318.471337579,23989808.91719745,28540127.38853503,65495541.40127388,65325477.70700637,1574522.292993631,170063.6942675159
166,263,0.0,123566.8789808917,2385350.318471338,218241401.2738853,310052866.2420382,63694.26751592357,247353503.1847134,0.0,17197.45222929936,8280.254777070064,63824203.82165605,65066878.98089172,843753503.1847134,718718471.3375796,108546496.8152866,107366878.9808917
167,264,0.0,1180254.777070064,1253503.184713376,8955414.012738854,27878980.89171974,0.0,8801910.828025477,0.0,120382.1656050955,3526114.649681529,16684076.43312102,20210191.08280255,128758598.7261146,123898089.1719745,3510828.025477707,4860509.554140127
168,265,0.0,2985350.318471338,2985350.318471338,34925477.70700637,74466242.03821656,12738.85350318471,9977070.063694268,0.0,0.0,18543312.10191083,48931210.1910828,67474522.29299363,240449681.5286624,229695541.4012739,1502547.770700637,1568789.808917197
169,266,23657961.78343949,98942038.21656051,153689171.9745223,84944585.98726115,290008280.2547771,6369.426751592357,25970063.69426752,70000000.0,75190445.85987261,241854140.1273885,82975159.2356688,342536942.6751592,469438216.5605096,318898726.1146497,13066878.98089172,60316560.50955414
170,267,0.0,26082165.60509554,27566242.03821656,71010191.08280255,136875796.178344,6369.426751592357,78462420.3821656,10054140.12738854,14687261.14649682,414649.6815286624,68279617.8343949,71292356.68789808,268075159.2356688,228278980.8917197,19722929.93630573,20243949.04458599
171,268,0.0,0.0,0.0,56183439.49044586,64912738.85350318,6369.426751592357,12548407.6433121,0.0,0.0,0.0,52364331.21019108,52364331.21019108,326998726.1146497,319104458.5987261,1909554.140127389,1328025.477707006
172,270,24840.76433121019,73034394.9044586,73192993.63057324,106907643.3121019,145210828.0254777,7643.312101910828,25377707.00636943,0.0,48562420.3821656,15068152.86624204,128684076.433121,144464331.2101911,588551592.3566879,557149681.5286624,16672611.46496815,5121019.108280255
173,271,0.0,11038853.50318471,11062420.38216561,8041401.27388535,42100000.0,0.0,23341401.27388535,9533757.96178344,14773248.40764331,4549681.52866242,10264331.21019108,15048407.6433121,248894904.4585987,246630573.2484076,1098089.171974522,2264331.210191083
174,273,0.0,2867515.923566879,2867515.923566879,36708280.25477707,94067515.92356688,0.0,77384713.37579617,0.0,0.0,0.0,19550318.47133758,19550318.47133758,222036305.7324841,209492993.6305732,11621656.05095541,12543312.10191083
175,274,0.0,39335031.84713376,40619108.28025477,155357961.7834395,235106369.4267516,63694.26751592357,154601273.8853503,16671974.52229299,23915286.62420382,0.0,97210191.08280256,97210191.08280256,541721656.0509554,334419108.2802548,69203184.71337579,80943949.04458599
176,275,0.0,0.0,0.0,9681528.66242038,16669426.75159236,0.0,9937579.617834397,0.0,0.0,4458.598726114649,6726751.592356687,6731210.191082803,211017834.3949045,207124203.821656,2256050.955414013,3893630.573248407
177,276,0.0,6498726.114649681,7252866.242038216,20384713.37579618,104206369.4267516,63694.26751592357,7537579.617834395,2570063.694267516,3947770.700636942,5312101.910828025,94297452.22929937,99973885.35031846,154524203.821656,139912101.910828,2126114.649681529,9060509.554140126
178,277,0.0,119001273.8853503,121144585.9872611,222343312.1019108,757310191.0828025,32077070.06369426,81335668.78980891,213065605.0955414,213143949.044586,290521019.1082802,291815923.566879,583975159.2356688,1869728662.420382,1812550955.414013,28508917.19745223,53328025.47770701
179,279,0.0,6852229.299363057,6852229.299363057,15498089.17197452,49044585.98726115,6369.426751592357,21631847.13375796,426114.6496815286,426114.6496815286,2746496.815286624,31092356.68789809,33838853.50318471,200441401.2738853,170529936.3057325,9606369.426751591,10880891.71974522
180,280,0.0,128662.4203821656,224840.7643312102,370601910.8280255,406260509.5541401,133757.9617834395,18975159.23566879,0.0,20382.16560509554,94103821.65605097,292903184.7133758,387489808.9171975,1303559235.66879,1247575159.235669,12349044.58598726,24382802.5477707
181,281,0.0,35031.84713375796,50955.41401273885,14029936.30573248,88149044.58598725,636942.6751592356,51320382.16560509,0.0,1273.885350318471,12738853.50318471,24139490.44585987,36878343.94904459,245089171.9745223,232779617.8343949,2008280.25477707,2847133.757961784
182,282,0.0,0.0,0.0,1054777.070063694,1890445.859872611,0.0,771974.5222929936,0.0,0.0,78980.89171974522,1039490.445859873,1118471.337579618,111679617.8343949,111509554.1401274,126751.5923566879,170063.6942675159
183,283,0.0,1200000.0,1251592.356687898,17981528.66242038,61974522.29299363,0.0,5763057.324840765,0.0,0.0,17684713.37579618,39778343.94904459,57463057.32484076,256948407.6433121,252722929.9363057,2837579.617834395,4225477.70700637
184,284,1445283439.490446,136596224840.7643,142238481528.6624,19585238853.50319,20505132484.07643,73003184.71337579,73051401273.88535,54345993630.57325,65549995541.40127,10867842038.21656,12650316560.50955,24142217197.45223,62135373885.35032,30377015923.56688,27037424203.82166,29677238853.50319
185,285,193291082.8025478,58970063.69426751,253162420.3821656,35133757.96178344,422410191.0828025,382165.6050955414,265684713.3757962,161347133.7579618,161347133.7579618,0.0,248541401.2738853,248541401.2738853,859509554.1401273,784885350.3184713,57105095.54140127,74624203.82165605
186,286,0.0,7205095.541401274,22122929.93630573,335031.847133758,7992993.630573248,636942.6751592356,9503821.656050956,0.0,0.0,0.0,20612101.91082802,20612101.91082802,67681528.66242038,48159872.61146497,4765605.095541401,10248407.6433121
187,287,311660509.5541401,206051044585.9872,208421728025.4777,42640033757.96178,80260461146.49681,72961783.43949044,159814247133.758,46170528662.42038,89683528662.42038,21435624203.82166,16266636305.73248,39184413375.79617,108163571974.5223,61252617197.45222,36681474522.29299,34878360509.55414
188,288,0.0,11524203.82165605,11572611.46496815,11026751.59235669,23078980.89171974,0.0,1412738.853503185,3503184.713375796,10868789.8089172,2757961.78343949,19611464.96815287,22369426.75159236,132979617.8343949,133157961.7834395,190445.8598726114,-178343.949044586
189,290,0.0,0.0,0.0,24959872.61146497,111688535.0318471,12738.85350318471,32374522.29299363,0.0,0.0,25480891.71974522,53833757.96178344,79314649.68152866,597095541.4012738,545271974.522293,15667515.92356688,16084713.37579618
190,291,0.0,12799363.05732484,12799363.05732484,104463694.2675159,162263057.3248408,6369.426751592357,12398726.11464968,15170700.63694268,20566242.03821656,87940764.33121018,54156687.89808917,142097452.2292994,382684076.433121,386957324.8407643,3964331.210191083,-4273248.407643312
191,292,0.0,1904458.598726114,1904458.598726114,3699363.057324841,13190445.85987261,63694.26751592357,2660509.554140127,0.0,0.0,173885.3503184713,12260509.55414013,12434394.9044586,90350318.47133756,54392993.63057324,689808.9171974522,1379617.834394904
192,296,0.0,84942675.15923567,85307643.3121019,292547133.7579618,512108917.1974522,6369.426751592357,110031847.133758,15905095.54140127,15905095.54140127,201967515.9235669,269511464.9681529,471478980.8917197,1181797452.229299,998375796.178344,46854140.12738853,91238853.5031847
193,298,0.0,8807006.369426752,8807006.369426752,13802547.77070064,23250318.47133758,0.0,4806369.426751592,6385987.261146497,11730573.24840764,636.9426751592356,15520382.16560509,15521019.10828025,304339490.4458598,299517834.3949044,3784076.433121019,4821656.050955414
194,299,0.0,387898.0891719745,387898.0891719745,667515.923566879,18021019.10828025,0.0,4407006.369426752,0.0,0.0,3069426.751592357,10932484.07643312,14001910.82802548,54492993.63057324,53902547.77070063,0.0,590445.8598726115
195,300,0.0,3626751.592356688,3626751.592356688,2156050.955414013,5075796.178343949,70063.69426751592,5203184.713375796,0.0,0.0,270700.6369426752,3228662.420382165,3499363.057324841,35661146.49681529,36680891.71974522,-2242038.21656051,-2078980.891719745
196,301,514100000.0,12348507643.3121,22568050318.47134,1213691719.745223,11759271974.52229,454140.127388535,-13226898726.11465,40793768152.86624,41360344585.98726,3300442675.159235,2308200636.942675,6193876433.121018,18722071974.52229,8623501273.88535,-9619969426.751593,9179625477.707006
197,304,0.0,63451592.3566879,70527388.53503184,2838796178.343949,9731593630.573248,70063.69426751592,2337645222.929936,0.0,682802.5477707007,0.0,7435157324.840764,7463792993.630573,1751343949.044586,1085454777.070064,3836885987.261147,430048407.6433121
198,305,889171.974522293,243346496.8152866,580265605.0955414,1264515923.566879,1607703821.656051,42387898.08917198,106600000.0,70949044.58598725,72429299.36305732,96923566.87898088,1862217197.452229,2008940127.388535,4172473885.350318,3944717197.452229,24670063.69426752,109221656.0509554
199,308,0.0,11597452.22929936,16213375.79617834,63591082.80254777,156651592.3566879,2738853.503184713,8714649.681528661,0.0,17197.45222929936,2371974.522292993,161761146.4968153,164133121.0191083,602131847.133758,529235031.8471338,7716560.50955414,10651592.3566879
200,310,0.0,8185987.261146496,463090445.8598726,10813244585.98726,18348796178.34395,6369426.751592357,949944585.987261,0.0,501163694.2675159,0.0,17348933757.96178,17360778343.94904,1775686624.203822,1658410828.025478,127580891.7197452,41857961.78343949
201,311,19745.22292993631,98147770.70063694,98250318.47133756,60568152.86624204,196246496.8152866,6369.426751592357,47996178.34394904,165200000.0,169611464.9681529,25754140.12738853,51135031.84713376,76889171.9745223,472959235.6687898,412422292.9936305,10957961.78343949,23191719.74522293
202,312,0.0,6929299.363057325,6929299.363057325,31417197.4522293,69910191.08280255,0.0,9218471.337579615,33536305.73248408,33536305.73248408,0.0,34084713.37579618,34084713.37579618,309647770.7006369,300299363.0573248,9289808.917197453,9348407.643312102
203,315,0.0,93452866.24203822,95027388.53503184,33408917.19745223,50915286.62420382,0.0,37601273.88535032,31210191.08280255,34577707.00636943,10828.02547770701,70361146.49681528,73763057.32484075,412925477.7070063,381234394.9044586,29949681.52866242,31691082.80254777
204,317,47770.70063694267,72254452866.24203,72935923566.87898,47211437579.61784,99766070700.63692,45136935668.78981,38121640764.33121,18425839490.44586,96407189808.9172,3267380254.77707,30308264331.21019,38173163694.26752,7045551592.356688,9300777070.063694,-2635292993.630573,-2255225477.707006
205,319,0.0,59568764968.15286,80483749044.58598,3583055414.012739,3660561783.43949,765624203.821656,7532617834.394904,72177409554.14012,72736613375.79617,0.0,3843758598.726114,3875078980.89172,1555308917.197452,503349044.5859873,753420382.1656051,1031959235.66879
206,321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,322,0.0,11645222.9299363,11645222.9299363,46603184.71337579,170670063.6942675,0.0,65782802.5477707,13436305.73248408,22103184.7133758,30680254.77707006,63749044.58598725,94429299.36305732,430306369.4267516,404349044.5859873,0.0,25957324.84076433
208,332,0.0,352393630.5732484,356936305.732484,1012029299.363057,1516285350.318471,159235668.7898089,258184713.3757962,0.0,102685987.2611465,0.0,1512350955.414013,1512350955.414013,4690462420.382165,4642177707.00637,114307643.3121019,48284713.37579618
209,333,1550318.47133758,203885350.3184713,234519108.2802548,740986624.2038217,1764306369.426752,15923.56687898089,810903184.7133758,2133757.961783439,2133757.961783439,47993630.57324841,1120201910.828025,1185788535.031847,3309699363.057325,3197980254.77707,26812738.85350318,53495541.40127388
210,334,0.0,127335031.8471338,127335031.8471338,536160509.5541401,1252804458.598726,9904458.598726114,213191082.8025478,519957324.8407643,519957324.8407643,339717834.3949044,307273248.4076433,646991082.8025477,3118920382.165605,2985800636.942675,83724840.7643312,133119745.2229299
211,335,0.0,5887261.146496815,5887261.146496815,17087261.14649681,50712101.91082802,12656050.95541401,36601273.88535032,0.0,0.0,6001273.885350319,13996178.34394904,19997452.22929936,320712101.910828,282235668.7898089,3964331.210191083,3056687.898089172
212,336,0.0,10226751.59235669,10226751.59235669,100397452.2292994,176302547.7707006,6369.426751592357,43810828.02547771,1963694.267515924,1963694.267515924,91084713.37579615,48771337.57961784,140754777.0700637,542587261.1464968,509140127.388535,18465605.0955414,23342038.21656051
213,337,0.0,25584713.37579618,35492993.63057325,278764331.2101911,958446496.8152866,22280254.77707006,306114012.7388535,363707006.3694267,374179617.8343949,1168152.866242038,300819745.2229299,313645859.8726115,1169864968.152866,1068777070.063694,7668152.866242038,44544585.98726115
214,338,0.0,31631847.13375796,32157961.78343949,248408917.1974522,854498089.1719745,36311464.96815287,176769426.7515923,108280254.7770701,111743949.044586,217868789.8089172,380273885.3503184,598142675.1592356,1039845859.872611,918121019.1082802,10630573.24840764,46422929.93630573
215,339,9554.140127388537,176803821.656051,176813375.7961783,576035668.7898089,1149212738.853503,63694.26751592357,586956050.9554139,135777070.0636943,140038216.5605096,3184.713375796178,596603184.7133758,599031847.133758,5596631847.133758,5475844585.987261,55912738.85350318,52386624.20382165
216,341,0.0,484076.4331210191,484076.4331210191,8546496.815286623,21347770.70063694,25477.70700636943,9499363.05732484,3436305.732484076,3436305.732484076,2018471.337579618,6877707.006369427,8896178.343949044,98710828.0254777,92866242.03821656,1463694.267515924,2151592.356687898
217,342,0.0,30084076.43312102,30176433.12101911,125474522.2929936,430456687.8980892,7643.312101910828,33274522.29299363,95541401.27388534,95566242.03821656,89086624.20382166,242705732.4840764,331792356.6878981,1285012101.910828,1199978980.89172,3035668.789808917,10301910.82802548
218,345,0.0,25292356.68789809,25726114.64968153,22389171.97452229,102386624.2038217,1124840.76433121,70452866.24203822,0.0,380254.7770700637,10268152.86624204,41380254.77707006,57279617.8343949,360049044.5859873,284018471.3375796,13650955.41401274,25462420.3821656
219,351,47770.70063694267,111968152.866242,123460509.5541401,314286624.2038217,1321371974.522293,10828.02547770701,778024840.7643312,0.0,961783.4394904458,228125477.7070064,430663057.3248407,665846496.8152866,5513184076.433121,5173168789.808917,127711464.9681529,70812101.91082802
220,355,0.0,80891.71974522293,80891.71974522293,39579617.8343949,68585350.31847133,6369.426751592357,302547.7707006369,10747770.70063694,10747770.70063694,0.0,57615923.56687898,57615923.56687898,61998089.17197452,58057961.78343949,107006.3694267516,1049044.585987261
221,357,3648701273.88535,106060768789.8089,121290449044.586,50207041401.27388,54681338216.56051,4801266242.038217,120974372611.465,0.0,22932468152.86624,5732536942.675159,24143143949.04459,32064946496.81528,109230142038.2166,106115761783.4395,-3112827388.535032,499331847.1337579
222,359,0.0,18232484.07643312,22998726.11464968,48032484.07643312,234278343.9490446,636942.6751592356,202661783.4394904,0.0,117834.3949044586,28980891.71974522,25108917.19745223,54497452.22929936,812573248.4076433,725620382.1656051,59600636.94267516,63128662.42038216
223,361,0.0,916384713.3757962,1009381528.66242,5148418471.33758,5977040127.388535,594510191.0828025,-2068685350.318471,70063694.26751593,71494267.51592356,2720976433.121019,6117276433.121018,8983612738.853502,1478496815.286624,1317905095.541401,-286245859.8726115,160591719.7452229
224,364,0.0,2460258598.726115,6295665605.095541,13027284713.3758,21702502547.7707,6369426.751592357,11700764331.21019,0.0,2850202547.7707,9756050.955414012,13319710191.0828,13447201273.88535,31383682165.60509,25926459872.61147,5474307643.312101,4882014649.681528
225,365,0.0,2934865605.095541,3971512101.910828,12342687261.1465,14859456687.89809,71678343.94904459,12853970700.63694,5152477070.063694,5694436305.732484,3357961.78343949,201275159.2356688,282561783.4394904,4506777707.00637,1426912738.853503,1679103184.713376,2405801910.828025
226,367,14649.68152866242,12991082.80254777,13008917.19745223,433408280.2547771,687613375.7961783,211641401.2738853,286835668.7898089,0.0,603821.6560509554,9123566.878980892,400047770.7006369,413182802.5477707,3384045222.929936,3113338853.503185,35585987.26114649,89220382.1656051
227,370,24840.76433121019,21057324.84076433,26046496.81528662,210264331.2101911,323675159.2356688,3190445.859872611,19874522.29299363,191082.8025477707,10344585.98726115,15768152.86624204,303733757.9617834,319502547.7707006,274650318.4713376,230026114.6496815,-9719108.280254778,886624.2038216561
228,371,36305.73248407643,32378343.94904459,32414649.68152866,124997452.2292994,259253503.1847134,7643.312101910828,187606369.4267516,0.0,0.0,38883439.49044586,65178343.94904459,104061783.4394904,924819108.2802548,705426114.6496814,66426751.59235668,64321019.10828025
229,372,0.0,3202547.770700637,3203821.656050955,4896815.286624203,17164331.21019108,6369.426751592357,5845859.872611465,0.0,316560.5095541401,9492356.687898088,4713375.796178344,14205732.48407643,70947770.70063694,56805095.54140127,4542038.216560509,5624203.821656051
230,374,63057.32484076433,93894267.51592356,95315923.56687896,48549681.52866242,101623566.8789809,6369.426751592357,148911464.9681529,0.0,2611464.968152866,0.0,45415923.56687898,45415923.56687898,284610828.0254777,223620382.1656051,18798726.11464968,19350318.47133758
231,375,91113375.79617834,5712257324.840764,10329265605.09554,2507270700.636942,10624228025.47771,937292993.6305732,12232058598.72611,0.0,1665299363.057325,0.0,6630837579.617834,7056135668.789808,19984744585.98726,7443649681.528662,10891143949.04459,10911079617.83439
232,377,0.0,403038853.5031847,410113375.7961783,687172611.4649681,1585198089.171974,63694.26751592357,265015923.566879,310958598.7261146,310958598.7261146,69949044.58598725,1348826114.649682,1419336942.675159,6029010191.082803,5777873885.350318,30853503.18471337,46556687.89808917
233,379,0.0,6342038.216560509,6640764.33121019,13951592.3566879,28411464.96815287,63694.26751592357,14050318.47133758,138216.5605095541,138216.5605095541,2691719.74522293,18171974.52229299,20863694.26751592,135015923.566879,134878980.8917197,-402547.7707006369,136942.6751592357
234,381,0.0,60015923.56687898,60998726.11464968,12510828.02547771,76329299.36305732,3121019.108280255,43794267.51592357,23361146.49681529,23361146.49681529,7006.369426751592,69045859.87261146,70172611.46496814,321442675.1592357,284078980.8917198,10912101.91082802,16931210.1910828
235,382,0.0,5741401.27388535,5780254.777070063,86424840.7643312,204396178.343949,7643.312101910828,56008917.19745222,0.0,567515.923566879,80427388.53503184,72738216.56050955,153600000.0,306762420.3821656,305323566.8789809,10682165.60509554,-10956050.95541401
236,384,1310828.025477707,44934394.9044586,46443949.04458599,549003821.6560509,944580891.7197452,6369426.751592357,245794904.4585987,0.0,1617197.452229299,0.0,743612738.8535031,743612738.8535031,2770319108.280255,2575832484.076433,12566242.03821656,25681528.66242038
237,385,264968.152866242,4050318.47133758,5311464.968152866,11038216.56050955,36068789.80891719,25477.70700636943,4587898.089171974,4798726.114649681,4798726.114649681,3828025.477707006,28165605.0955414,31993630.57324841,209140764.3312102,168160509.5541401,6102547.770700636,7033757.961783439
238,386,0.0,1459872.611464968,1459872.611464968,5240127.388535032,21963057.32484076,0.0,7243949.044585987,0.0,0.0,5726751.592356687,10452229.29936306,16178980.89171975,94300636.94267516,92463057.32484075,724203.821656051,1837579.617834395
239,387,0.0,31906369.42675159,31906369.42675159,22594904.45859873,40092356.68789808,12738.85350318471,22876433.12101911,35785987.26114649,35785987.26114649,573248.4076433121,12763694.26751592,13336942.67515923,160650955.4140127,144375159.2356688,3252229.299363057,3249044.585987261
240,389,0.0,1147133.757961783,1147133.757961783,29780891.71974522,40833121.01910828,0.0,5882802.5477707,8666878.98089172,9780891.719745222,4957324.840764331,21359235.66878981,26316560.50955414,223587261.1464968,220378343.9490446,2343949.044585987,3208917.197452229
